,title,singer,album
0,"십이월 이십오일의 고백
","정승환
","십이월 이십오일의 고백
"
1,"Blueming
","아이유(IU)
","Love poem
"
2,"나의 오랜 연인에게
","다비치
","나의 오랜 연인에게
"
3,"Into the Unknown
","Idina Menzel(이디나 멘젤)
","Frozen 2 (겨울왕국 2 OST)
"
4,"With You
","Crush
","From Midnight To Sunrise
"
5,"HIP
","마마무(Mamamoo)
","reality in BLACK
"
6,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)
","염따
","Dingo X DAMOIM (Part 2)
"
7,"늦은 밤 너의 집 앞 골목길에서
","노을
","늦은 밤 너의 집 앞 골목길에서
"
8,"SUGA's Interlude
","Halsey(할시)
","SUGA's Interlude
"
9,"Love poem
","아이유(IU)
","Love poem
"
10,"Show Yourself
","Idina Menzel(이디나 멘젤)
","Frozen 2 (겨울왕국 2 OST)
"
11,"날 보러 와요 (Come See Me)
","에이오에이(AOA)
","NEW MOON
"
12,"FEVER (Feat. 수퍼비, BIBI)
","박진영
","FEVER
"
13,"시간의 바깥
","아이유(IU)
","Love poem
"
14,"Alone
","Crush
","From Midnight To Sunrise
"
15,"헤어진 우리가 지켜야 할 것들
","김나영
","헤어진 우리가 지켜야 할 것들
"
16,"흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
","장범준
","멜로가 체질 OST Part 3
"
17,"unlucky
","아이유(IU)
","Love poem
"
18,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
","AKMU (악동뮤지션)
","항해
"
19,"티격태격 (Feat. DPR LIVE)
","Crush
","From Midnight To Sunrise
"
20,"Santa Tell Me
","Ariana Grande(아리아나 그란데)
","Santa Tell Me
"
21,"LION
","(여자)아이들
","퀸덤 <FINAL 컴백 싱글>
"
22,"불티 (Spark)
","태연 (TAEYEON)
","Purpose - The 2nd Album
"
23,"Snowman
","Sia(시아)
","Everyday Is Christmas [Deluxe]
"
24,"그 사람
","아이유(IU)
","Love poem
"
25,"Obsession
","EXO
","OBSESSION - The 6th Album
"
26,"숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")
","태연 (TAEYEON)
","겨울왕국 2 [한국어 버전]
"
27,"Some Things Never Change
","Kristen Bell(크리스틴 벨)
","Frozen 2 (겨울왕국 2 OST)
"
28,"어쩌면, 널 잊을 수 있을까
","길구봉구
","어쩌면, 널 잊을 수 있을까
"
29,"All I Want for Christmas Is You
","Mariah Carey(머라이어 캐리)
","Merry Christmas [Deluxe Anniversary Edition]
"
30,"METEOR
","창모(CHANGMO)
","Boyhood
"
31,"Wake Up (Feat. DEAN)
","Crush
","From Midnight To Sunrise
"
32,"자장가
","아이유(IU)
","Love poem
"
33,"영화 속에 나오는 주인공처럼
","펀치 (Punch)
","동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6
"
34,"안녕, 겨울
","정승환
","십이월 이십오일의 고백
"
35,"안녕
","폴킴(Paul Kim)
","호텔 델루나 OST Part.10
"
36,"All Is Found
","Evan Rachel Wood(이반 레이첼 우드)
","Frozen 2 (겨울왕국 2 OST)
"
37,"운명이 내게 말해요
","헤이즈(Heize)
","동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.9
"
38,"이 번호로 전화해줘
","바이브
","이 번호로 전화해줘
"
39,"Don't Start Now
","Dua Lipa(두아 리파)
","Don't Start Now
"
40,"Memories
","Maroon 5(마룬 파이브)
","Memories
"
41,"오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
","마크툽(Maktub)
","Red Moon : To You My Light
"
42,"새 사랑
","송하예
","새 사랑
"
43,"잘자 (Feat. Zion.T)
","Crush
","From Midnight To Sunrise
"
44,"2002
","Anne-Marie(앤 마리)
","Speak Your Mind [Deluxe]
"
45,"사랑이란 멜로는 없어
","전상근
","사랑이란 멜로는 없어
"
46,"워커홀릭
","볼빨간사춘기
","Two Five
"
47,"차가워진 이 바람엔 우리가 써있어(Bad Love)
","HYNN(박혜원)
","차가워진 이 바람엔 우리가 써있어(Bad Love)
"
48,"인기 (feat. 송가인, 챈슬러)
","MC몽
","CHANNEL 8
"
49,"Lost in the Woods
","Jonathan Groff(조나단 그로프)
","Frozen 2 (겨울왕국 2 OST)
"
50,"있어줘요
","장덕철
","있어줘요
"
51,"Into the Unknown (Panic! At The Disco Version)
","Panic! At The Disco(패닉 앳 더 디스코)
","Frozen 2 (겨울왕국 2 OST)
"
52,"모든 날, 모든 순간 (Every day, Every Moment)
","폴킴(Paul Kim)
","'키스 먼저 할까요?' OST Part.3
"
53,"Señorita
","Shawn Mendes(션 멘데스)
","Señorita
"
