,title,singer,albumName,score,lyrics,youtube
0,Blueming,아이유,Love poem,397,"입김처럼 하얀 목소리
닿을 듯하다 사라지고 
못내 아쉬운 마음처럼
천천히 걷는 두 사람

넌 기다려 왔다가도 
움츠러들게 되는 겨울 같아

걸음을 서둘러 
이 신호에 건너게 된다면,
서둘러 도착한 버스에 
우리 나란히 앉아 간다면,
십이월 이십오일의 고백을 
서둘러 오늘 할 텐데

시큰, 하고 시리다가도 포근한 
이 겨울이
내겐 너 같아

걸음을 서둘러 이 신호에 
건너게 된다면,
서둘러 도착한 버스에 
우리 나란히 앉아 간다면,
십이월 이십오일의 용기를 
서둘러 내어볼 텐데

눈이 내리지 않아도 
충분히 아름다운 순간이야
다를 거 없는 보통의 하루라 
더 기억해두고 싶은 밤이야

서둘러 이 어두운 골목을 지나면,
어느새 도착한 너의 집 앞 가로등이 
우릴 비추면,
십이월 이십오일의 진심을 
지금 너에게 말할게.
나의 겨울아, 내 모든 계절이 되어 줘.",https://www.youtube.com/results?search_query=Blueming
1,나의 오랜 연인에게,다비치,나의 오랜 연인에게,396,"까만 밤 빛이 없는 하루에 혼자 
서있는 듯 어떤 말도 반갑지 않은 날에
그래 넌 항상 거기 있지 그게 난 
너무 편했나 봐 좋았나 봐 자꾸 두려울 만큼 

멀리 걷고 있는 사람들 속 너만 참 
빛나 보여 그저 힘들던 하루가
날 아껴주는 네가 있어서 감사해

가끔씩 난 뒤 돌아보면 철없이 
온 세상에 우리 둘밖에 없었던 지난날 
그때 또 그립겠지만 

처음 같은 설레임보다 서로를 
따뜻하게 바라봐주는
지금 이대로의 모습이 소중해

이렇게 오랫동안 우리가 함께 웃게 될 줄
몰랐어 난 아마 너도 그렇지

때론 알 수 없는 불안함에 
아픈 날도 있었어 버거운 다툼 속에서

어느새 훌쩍 커버린 마음 알잖아

가끔씩 난 뒤 돌아보면 철없이 
온 세상에 우리 둘밖에 없었던
지난날 그때 또 그립겠지만

처음 같은 설레임보다 서로를
따뜻하게 바라봐주는 
그런 사이가 행복일 테니까 

사랑하니까 같은 꿈을 꾸게 돼 
너라서 선명하지 않은 먼 길도 함께 갈게",https://www.youtube.com/results?search_query=%EB%82%98%EC%9D%98+%EC%98%A4%EB%9E%9C+%EC%97%B0%EC%9D%B8%EC%97%90%EA%B2%8C
2,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,392,"All I wanna be is 멋짐
내 마음대로 골라 kick it
머리 어깨 무릎 다 HIP 해 
Do it do it like me do it
나를 따라 해 kick it
Clapping clapping 모두 같이 HIP
 
I love you 네가 뭐라든 간에
Respect you 네가 뭘 하든 간에
늘 따끈따끈해 그 관심이 따끔따끔해 
또 힐끔 힐끔 힐끔

이젠 모든 일이 가뿐해 veteran
성공을 썰어 먹어 마치 michelin
누구보다 빠른 걸음을 걸었네 비시즌
잊은 지도 오래야 뒷걸음 
 
All I wanna be is 멋짐
내 멋대로 골라 kick it
머리 어깨 무릎 다 HIP

삐삐삐 논란이 돼 my fashion 
별로 신경 안 써 그저 action
자꾸 click me click me 
홀린 듯이 zoom 
Close up close up close up 
 
HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP HIP HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP 해 HIP

(Attention) 어딜 가든 넌 
(Reflection) 빛날 수 있어
세상에 넌 하나뿐인 걸
근데 왜이래 네 얼굴에 침 뱉니 (칵투) 

날 자극한 여러분 감사
거기서 멈춘 찌질이 반사
덕분에 나의 멘탈은 단단해
난 다음 앨범 만들러 갈게 

All you wanna be is trendy 
어그로 끌기 gimmick 때찌! 
그런 애들 끼리끼리 HIP
  
삐삐삐 논란이 돼 my fashion 
별로 신경 안 써 그저 action
자꾸 click me click me 
홀린 듯이 zoom 
Close up close up close up 
 
HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP HIP HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP 해 HIP

코 묻은 티 
삐져나온 입
떡진 머리
난 상관없지 
코 묻은 티 
삐져나온 입
떡진 머리 
내가 하면 HIP

코 묻은 티 
삐져나온 팬티
떡진 머리
난 상관없지
코 묻은 티 
삐져나온 팬티
떡진 머리 
내가 하면 HIP 
 
삐삐삐 논란이 돼 my fashion 
별로 신경 안 써 그저 action
자꾸 click me click me
홀린 듯이 zoom 
Close up close up close up

HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP HIP HIP 해 HIP HIP 
머리 어깨 무릎 HIP 
HIP HIP HIP HIP 해 HIP",https://www.youtube.com/results?search_query=%EC%8B%AD%EC%9D%B4%EC%9B%94+%EC%9D%B4%EC%8B%AD%EC%98%A4%EC%9D%BC%EC%9D%98+%EA%B3%A0%EB%B0%B1
3,HIP,마마무(Mamamoo),reality in BLACK,387,"Ah ah oh oh oh
Ah ah oh oh oh oh oh oh

I can hear you but I won't
Some look for trouble 
while others don't
There's a thousand reasons 
I should go about my day
And ignore your whispers 
which I wish would go away, oh oh oh
Ah ah oh oh
Oh oh
Ah ah oh oh

You're not a voice
You're just a ringing in my ear
And if I heard you, which I don't
I'm spoken for I fear

Everyone I've ever loved is here 
within these walls
I'm sorry, secret siren, 
but I'm blocking out your calls
I've had my adventure,
I don't need something new
I'm afraid of what I'm risking 
if I follow you

Into the unknown
Into the unknown
Into the unknown
Ah ah oh oh
Ah ah oh oh oh oh

What do you want?
'Cause you've been keeping me awake
Are you here to distract me 
so I make a big mistake?
Or are you someone out there 
who's a little bit like me?
Who knows deep down
I'm not where I'm meant to be?

Every day's a little harder
as I feel my power grow
Don't you know there's part of me
that longs to go...

Into the unknown
Into the unknown
Into the unknown
Ah ah oh oh
Ah ah oh oh

Oh oh oh
Are you out there?
Do you know me?
Can you feel me?
Can you show me?
Ah ah oh oh
Ah ah oh oh
Ah ah oh oh
Ah ah oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh

Where are you going?
Don't leave me alone
How do I follow you
Into the unknown
Oh oh oh",https://www.youtube.com/results?search_query=HIP
4,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,386,"어 그래 얘들아
사는게 개같지?
내 얼굴도 개같지 뭐얌
근데도 부자가 됐다
세상은 공평한 법
열심히 하는 자에겐
성공이 올 것이다 빠끄
내년엔 잘될거야 아마두
택배가 도착할걸 아마두
여친이 생길거야 아마두 
민수도 잘될거야 아마두 
동갑인 차살거야 아마두
팔로는 애낳을거야 아마두 
머리가 자랄거야 상구두 
기석인 모르겠어 하나두 

나도 진짜 모르겠어
뭐할지 당장에 오늘도 내일도
매해 목표는 무조건 새 앨범
설레발은 놉, 그 놈의 ‘앨범 모드’
하나만 더 내고 단콘에 월드 투어
계획만 짜다 드러눕는 버릇도
고치고 싶다 주둥이만 터는 놈
잠을 더 자려면 돈을 덜 버는 것뿐
엄마 결혼은 기대도 마 
나는 즐기면서 살고 있고
건강 검진 혼자 받는 건 싫은데, 
같이 갈 다모임 손
골프나 치러 댕길래 
우리 그게 첫번째 위시리스트
받은 사랑을 제대로 
베풀고 싶어 officially

I got that guap 바뀐 내 겨울 잠바
미안해 이제 사과해 
그전에 죽인 산타는
어릴 적 들은 good times과 
콰형의 1 life 2 live
상구형의 양화 그리고 
기석형 믹스테입 그때의 파마
강동에 살아
스케이트보드 타러 간 
지하 주차장에서 쫓겨났어
가방엔
필카 두 개 라카 두어 개 
홍대는 내 도화지
Uh 많이 변했네
더 좋을 거야 아마두

새 캘린더 꺼내 올해도 가네
내 또래 84 rappers 참 오래도 가네
다음엔 광수, 상수 껴 다들 바쁘지만
내 안 고독방 셔터는 
2년째 안 내려가네 yeah
자 노를 저어 강물 따라 이젠 바닷물
난 깨고 있어 내 인생의 미션 하나 둘
반지하에서 35평 한강 뷰
반지도 샀어 장가가겠지 아마두

다가올 내일을 향해 smile
멈추기엔 시간이 아까워
DAMOIM comin to town
내년에는 보다 나은 
우리가 돼있기를 빌어
너희도 잘될거야 get em yea
지나간 날은 뒤로 
어깰 펴고 고갤 위로
what's up noisemaster
세상에 사랑을 나누기 위해서 
모인 이 masters
받은 만큼돌려 주는 게 
이 남자들의 finessin
shoutout to dingo 
헉피 넉살 우원재 효은이 thank yall
내년엔 다들 더 잘될거야

아마두
택배가 도착할걸 아마두
여친이 생길거야 아마두 
민수도 잘될거야 아마두 
동갑인 차살거야 아마두
팔로는 애낳을거야 아마두 
머리가 자랄거야 상구두 
기석인 모르겠어 하나두

너를 사랑할 것 같아 아마두
너가 나를 떠나버릴지도 (버릴지도)
돌아오지 않아 너라는 눈은
계절이 한 번 더 변해도 (내후년도)
우 우 우 우
자기야 이 순간 
너를 위해 부르잖아 워 워
망가져 버려도 좋아 타 버리자 이대로

빨간불은 파란불로 바뀌어, 
웃어, 하하호호
걱정해봤자 뭐 답 없어, 
잃지 말자, 낭만을
Positive vibe 전파, 
올해 꼬였대도 no prob
성장한 거야, 
뒤돌아보면 안줏거리고 영웅담
태어난 건 내 선택 아니었지만 
삶은 내꺼지
뭐 어쩔 건데, 
누가 뭐래도 첫 번째, 내 행복이
이걸 나눌 수 있단 사실이 
내면을 부자로 만들지
날씬 추워도 마음은 따뜻해, 
멋진 친구가 많으니

‘돈 Call Me’ 잘 될 줄 알았음 
염따형 앨범 featuring 
할걸 그랬어 
할머니는 천국에 잘 계셔
크리스마스 크리스마스 
feels like love
이 모든 게 우연일까 
26일이 기일인 이유도 oh oh
33번째 겨울 따뜻하니 
돈 좀 벌었다고 no
사람들이 있어 
이건 주머니에 넣지 못한다고
오늘이 가면 1월이지 
내년엔 어떤 모습 희망이 기다리지
믿음이 있길 이끼는 끼지 않게 
구르는 돈이 되길

저 애들을 봐, 
온 동네 구경이라도 난 듯
이 노래를 기다리네, 
이제 안 해도 될 것 같네, 작두
나 빼고 가서 좋았니? 
물론 좋았겠지, 대만
딩고 놈들은 또 날 불러, 
지들 필요할 때만
여튼 12월에도 연말 느낌은 없지
왜냠 올림픽홀에서 하는 
분신 준비 때문이지
이 기분을 아는 사람은 박재범뿐이지
돈 많이 벌어서 
나도 벤틀리 한 번 뿌시리

아마두
택배가 도착할걸 아마두
여친이 생길거야 아마두 
민수도 잘될거야 아마두
동갑인 차살거야 아마두 
팔로는 애낳을거야 아마두
머리가 자랄거야 상구두 
기석인 모르겠어 하나두

효은이는 웃을거야 아마두
산타가 없대 원재가 그랬음
넉살아 술좀그만 말아주
헉피는 행복할걸 아마두 
딩고도 고생했어 아마두
해식인 영화감독 아마두
일등을 할것같아 아마두
안되면 쨀것같아 아마두
우 우 우 우~

(야 우리 그냥 쨀래?)",https://www.youtube.com/results?search_query=%EB%8A%A6%EC%9D%80+%EB%B0%A4+%EB%84%88%EC%9D%98+%EC%A7%91+%EC%95%9E+%EA%B3%A8%EB%AA%A9%EA%B8%B8%EC%97%90%EC%84%9C
5,Love poem,아이유,Love poem,379,"오래되었어 그때 너의 웃음
너의 목소리 잊혀진거 같아
시간의 위로 그 말의 의미를 이젠 알아
아픈 니 얘기도 적당히 할 수 있어

그런데 이게 뭐랄까 난, 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서 한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어 

자연스럽게 발걸음을 돌려
나 바래다주던 익숙한 길을 가
밤이 깊어져서 아무것도 보이지 않아도
손을 흔들면서 인사하던 널 봤어 

그런데 이게 뭐랄까 난, 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서 한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어

아무도 없어서 참 다행이야
나 이렇게 편안히 너를 부를 수 있는 걸
외로운 위로겠지만 

그래서 이젠 뭘 할까 난 난 널 생각했어도
괜찮은 듯 얘기하며 다 지워냈는데
집으로 돌아오면서 한 번 더 떠오른 추억에
걸음을 멈춰 서서 또다시 울고 있어",https://www.youtube.com/results?search_query=Love+poem
6,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악동뮤지션),항해,363,"일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
 
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
 
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
 
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
 
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
 
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
 
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데
 
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데",https://www.youtube.com/results?search_query=%EC%96%B4%EB%96%BB%EA%B2%8C+%EC%9D%B4%EB%B3%84%EA%B9%8C%EC%A7%80+%EC%82%AC%EB%9E%91%ED%95%98%EA%B2%A0%EC%96%B4+%EB%84%90+%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94+%EA%B1%B0%EC%A7%80
7,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,360,"Every inch of me is trembling
But not from the cold
Something is familiar
Like a dream I can reach
but not quite hold
I can sense you there
Like a friend I've always known
I'm arriving
And it feels like I am home

I have always been a fortress
Cold secrets deep inside
You have secrets, too
But you don't have to hide

Show yourself
I'm dying to meet you
Show yourself
It's your turn
Are you the one 
I've been looking for
All of my life?
Show yourself
I'm ready to learn

Ah ah ah ah

Ah ah ah ah ah

I've never felt so certain
All my life I've been torn
But I'm here for a reason
Could it be the reason I was born?
I have always been so different
Normal rules did not apply
Is this the day?
Are you the way
I finally find out why?

Show yourself
I'm no longer trembling
Here I am
I've come so far
You are the answer I've waited for
All of my life
Oh, show yourself
Let me see who you are

Come to me now
Open your door
Don't make me wait
One moment more
Oh, come to me now
Open your door
Don't make me wait
One moment more

Where the north wind meets the sea

Ah ah ah ah

There's a river

Ah ah ah ah

Full of memory

Come, my darling, homeward bound

I am found

Show yourself
Step into the power
Throw yourself
Into something new

You are the one 
you've been waiting for

All of my life
All of your life
Oh, show yourself

Ah ah ah
Ah ah ah ah
Ah ah ah ah
Ah ah ah ah
Ah ah ah ah
Ah ah ah ah",https://www.youtube.com/results?search_query=%ED%9D%94%EB%93%A4%EB%A6%AC%EB%8A%94+%EA%BD%83%EB%93%A4+%EC%86%8D%EC%97%90%EC%84%9C+%EB%84%A4+%EC%83%B4%ED%91%B8%ED%96%A5%EC%9D%B4+%EB%8A%90%EA%BB%B4%EC%A7%84%EA%B1%B0%EC%95%BC
8,시간의 바깥,아이유,Love poem,360,"서로를 닮아 기울어진 삶
소원을 담아 차오르는 달
하려다 만 괄호 속의 말
이제야 음 음 음

어디도 닿지 않는 나의 닻
넌 영원히 도착할 수 없는 섬 같아
헤매던 날 
이제야 음 음 음

기록하지 않아도 
내가 널 전부 기억할 테니까

기다려 
기어이 우리가 만나면,
시간의 테두리 바깥에서 
과거를 밟지 않고 선다면 
숨이 차게 춤을 추겠어 

낮에도 밝지 않은 나의 밖
끝없는 밤 남겨진 반
넌 어떨까 나와 같을까
알 수 없음에 아파지던 맘

더 멀리 자유 그 위로 가자
내일이 우릴 찾지 못할 
곳에서 기쁘게 만나
이제야 한눈에 찾지 못해도 돼
내가 널 알아볼 테니까

기다려 
기어이 우리가 만나면,
시간의 테두리 바깥에서
과거를 밟지 않고 선다면
숨이 차게 춤을 추겠어

드디어
기다림의 이유를 만나러
꿈결에도 잊지 않았던
잠결에도 잊을 수 없었던
너의 이름을 불러 줄게

기다려 
잃어버렸던 널 되찾으러
엉키었던 시간을 견디어
미래를 쫓지 않을 두 발로 
숨이 차게 달려가겠어

긴긴 서사를 거쳐
비로소 첫 줄로 적혀
나 두려움 따윈 없어 

서로를 감아 포개어진 삶
그들을 가만 내려보는 달
여전히 많아 하고 싶은 말
우리 좀 봐 꼭 하나 같아",https://www.youtube.com/results?search_query=%EC%8B%9C%EA%B0%84%EC%9D%98+%EB%B0%94%EA%B9%A5
9,Obsession,EXO,OBSESSION - The 6th Album,340,"흔들리는 꽃들 속에서 
네 샴푸향이 느껴진거야
스쳐지나간건가 뒤돌아보지만 
그냥 사람들만 보이는거야
다와가는 집근처에서 
괜히 핸드폰만 만지는거야
한번 연락해 볼까 용기내 보지만 
그냥 내 마음만 아쉬운 거야

걷다가 보면 항상 이렇게 너를 
바라만 보던 너를 기다린다고 말할까
지금 집앞에 계속 이렇게 너를 
아쉬워 하다 너를 연락했다 할까

지나치는 꽃들 속에서 
네 샴푸향만 보이는거야
스쳐지나간건가 뒤 돌아보지만 
그냥 내 마음만 바빠진거야

걷다가 보면 항상 이렇게 너를 
바라만 보던 너를 기다린다고 말할까
지금 집앞에 계속 이렇게 너를 
아쉬워 하다 너를 연락했다 할까

어떤 계절이 너를 
우연히라도 너를 마주치게 할까
난 이대로 아쉬워하다 너를 
바라만 보던 너를
기다리면서 아무말 못하고
그리워만 할까

걷다가 보면 항상 이렇게 너를 
바라만 보던 너를 생각한다고 말할까
지금 집앞에 기다리고 때론 
지나치고 다시 기다리는
꽃이 피는 거리에 보고파라 이밤에
걷다가 보면 항상 이렇게 너를 
아쉬워 하다 너를 기다린다고 말할까
지금 집앞에 계속 이렇게 너를 
아쉬워 하다 너를 연락했다 할까",https://www.youtube.com/results?search_query=Obsession
